                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1726,                 4.2564,                 1.2079,                      0,                      0,                      0,                      0,                 1.9222,                 4.4246,                 1.0314,              4.444e-05,              4.444e-05,              4.444e-05
                      2,                 1.8308,                 4.0696,                 1.0716,                0.00126,                0.02414,                0.00102,                0.00042,                 1.6173,                 4.2594,                0.89656,                9.9e-05,                9.9e-05,                9.9e-05
                      3,                  1.649,                 3.8161,                0.96849,                 0.0101,                0.05597,                0.01089,                0.00203,                 1.5431,                 4.2922,                0.88629,             0.00015246,             0.00015246,             0.00015246
                      4,                 1.4302,                 3.5618,                0.91047,                0.01655,                0.10988,                 0.0252,                0.00752,                 1.3544,                 4.1956,                0.84121,             0.00020482,             0.00020482,             0.00020482
                      5,                 1.3411,                 3.3875,                0.90527,                0.01669,                0.11789,                0.01472,                0.00309,                 1.3056,                 4.1616,                0.82948,             0.00025608,             0.00025608,             0.00025608
                      6,                 1.3413,                 3.1764,                0.88177,                 0.0303,                0.21587,                 0.0433,                0.01267,                  1.286,                   4.11,                0.83007,             0.00030624,             0.00030624,             0.00030624
                      7,                 1.2871,                 2.9957,                0.87988,                0.04329,                0.35058,                0.10152,                0.03462,                 1.2958,                  4.005,                0.83812,              0.0003553,              0.0003553,              0.0003553
                      8,                  1.313,                 2.7021,                0.88623,                 0.0385,                0.31881,                0.08339,                0.02532,                 1.2995,                 3.9485,                0.83189,             0.00040326,             0.00040326,             0.00040326
                      9,                 1.2478,                 2.4508,                  0.879,                0.04596,                 0.4253,                0.12559,                0.05069,                 1.2464,                 3.8352,                0.82634,             0.00045012,             0.00045012,             0.00045012
                     10,                 1.2595,                 2.2156,                0.88409,                0.05134,                0.49433,                0.14608,                0.06784,                 1.2104,                 3.7174,                0.82244,             0.00049588,             0.00049588,             0.00049588
                     11,                 1.2715,                 2.1155,                0.88872,                0.05543,                0.51391,                 0.1546,                0.07313,                 1.2655,                 3.6457,                0.82934,             0.00054055,             0.00054055,             0.00054055
                     12,                 1.2034,                 2.0327,                0.86952,                0.06007,                0.56206,                0.15391,                0.08437,                  1.185,                 3.5479,                 0.8222,             0.00058411,             0.00058411,             0.00058411
                     13,                 1.2395,                 1.9068,                0.86471,                0.06728,                0.64364,                  0.171,                 0.0926,                 1.1858,                 3.4759,                0.82478,             0.00062657,             0.00062657,             0.00062657
                     14,                 1.1425,                 1.8105,                0.87251,                0.09312,                0.85745,                0.25778,                0.14633,                 1.1812,                 3.2681,                0.82635,             0.00066793,             0.00066793,             0.00066793
                     15,                 1.1925,                 1.7818,                0.87325,                0.10291,                0.97168,                0.39071,                0.23713,                 1.2227,                 2.9582,                0.82913,             0.00070819,             0.00070819,             0.00070819
                     16,                 1.1336,                 1.6599,                0.87568,                0.10268,                0.98615,                0.45525,                0.28246,                 1.2011,                 2.7652,                0.83266,             0.00074735,             0.00074735,             0.00074735
                     17,                 1.1532,                 1.6462,                0.88542,                0.45331,                0.49373,                0.48245,                0.31218,                 1.1609,                 2.4268,                0.83811,             0.00078541,             0.00078541,             0.00078541
                     18,                 1.1981,                 1.5935,                 0.8839,                0.48237,                0.39215,                0.48459,                0.30235,                 1.2439,                 2.3329,                0.84705,             0.00082238,             0.00082238,             0.00082238
                     19,                 1.1361,                 1.5417,                0.86062,                0.48953,                0.41792,                0.51432,                0.31684,                 1.2399,                  2.275,                0.84353,             0.00085824,             0.00085824,             0.00085824
                     20,                 1.1519,                 1.4622,                0.86311,                0.67936,                0.42882,                0.65424,                0.40041,                 1.3144,                 2.0642,                0.85598,               0.000893,               0.000893,               0.000893
                     21,                 1.1613,                  1.411,                0.87198,                0.71266,                0.55115,                0.69764,                0.43297,                 1.2892,                 1.9147,                0.85435,             0.00089102,             0.00089102,             0.00089102
                     22,                 1.1356,                  1.361,                 0.8614,                0.63845,                0.52956,                0.66099,                0.42232,                 1.1942,                 1.9266,                 0.8358,             0.00088002,             0.00088002,             0.00088002
                     23,                 1.1052,                 1.2977,                0.85801,                0.68742,                0.68531,                0.74924,                 0.4613,                 1.2233,                 1.7127,                0.84386,             0.00086902,             0.00086902,             0.00086902
                     24,                 1.1234,                 1.2467,                0.87144,                0.55001,                0.67616,                0.65867,                0.43593,                 1.1898,                 1.6575,                0.84577,             0.00085803,             0.00085803,             0.00085803
